,Month_Day,Year_Occured,Event
64,06 January,1912,"Geophysicist and meteorologist Alfred Wegener presents his controversial theory of continental drift in a lecture at the Geological Association (Geologischen Vereinigung) at the Senckenberg-Museum, Frankfurt"
65,06 January,1941,"US President Franklin Roosevelt makes his ""Four Freedoms"" speech (freedom of speech and worship; freedom from want and fear) during his US State of Union address"
66,06 January,1987,Astronomers at University of California see 1st sight of birth of a galaxy
67,06 January,1975,"""Wheel Of Fortune"" debuts on NBC-TV"
68,06 January,1681,1st recorded boxing match (Duke of Albemarle's butler vs his butcher)
69,06 January,1759,US 1st President George Washington marries Martha Dandridge Custis at White House Plantation
70,06 January,1836,"Author Harriet Beecher (24) weds educator Calvin Ellis Stowe (33) in Cincinnati, Ohio"
71,06 January,1903,Theoretical Physicist Albert Einstein (23) weds Mileva Maric
72,07 January,1610,"Galileo Galilei discovers the first three moons of Jupiter: Io, Europa & Ganymede"
73,07 January,1714,Typewriter patented by Englishman Henry Mill (built years later)
74,07 January,1941,"Chinese Kuomintang forces under orders from Chiang Kai-shek open fire on the surrounded Communist New Fourth Army at Maolin, Anhui Province, killing or capturing 7,000 troops"
75,07 January,1953,US President Harry Truman announces American development of the hydrogen bomb
76,07 January,1954,"Georgetown-IBM experiment, 1st public demonstration of a machine translation system, is held at IBM's head office in New York"
77,07 January,1999,President Bill Clinton's impeachment trial begins in the US Senate after the House voted to impeach him for lying about his affair with Monica Lewinsky
78,07 January,1894,"William K.L. Dickson captures ""Fred Ott's Sneeze"" as a motion picture at Thomas Edison's Black Mariah Studio, West Orange, New Jersey [1]"
79,07 January,1955,Marian Anderson becomes the 1st African American to perform with the New York Metropolitan Opera
80,07 January,1958,Gibson issued US patent for the Flying V Guitar
81,07 January,1955,Marian Anderson becomes the 1st African American to perform with the New York Metropolitan Opera
82,07 January,1972,"Los Angeles Lakers defeat the Atlanta Hawks, 134-90 for their 33rd straight win, the longest winning streak in major professional sports"
83,07 January,1630,Composer Pier Cavalli marries rich widow Maria Sosomeno
84,07 January,1879,Dutch King Willem II marries Emma von Waldeck-Pyrmont
85,07 January,1880,Pianist Ignacy Jan Paderewski (19) weds Antonina Korsak
86,07 January,1985,Actress-singer Janet Jackson (18) divorces fellow R&B singer James DeBarge (21) only 4 months after getting married
87,08 January,1656,"Oldest surviving commercial newspaper begins (Haarlem, Netherlands)"
88,08 January,1790,1st US President George Washington delivers 1st state of the union address
89,08 January,1835,US national debt is $0 for the first and only time in history
90,08 January,1912,"Chiefs, representatives of people's and church organisations, and other prominent individuals form the African National Congress and declare its aim to bring all Africans together as one people to defend their rights and freedoms"
91,08 January,1916,WWI: ANZAC forces withdraw from the Gallipoli Peninsula after Ottoman forces successfully defend access to Constantinople
92,08 January,1926,Abdulaziz Ibn Saud becomes King of Nejd and Hejaz; forerunner of the Kingdom of Saudi Arabia
93,08 January,1978,"TV series ""All Creatures Great and Small"" debuts on BBC TV, based on the books by James Herriot, starring Robert hardy and Christopher Timothy"
94,08 January,1956,"Elvis Presley's ""Don't Be Cruel"" and ""Hound Dog"" single goes #1 and stays #1 for a record 11 weeks (for a single)"
95,08 January,1993,"Michael Jordan's game-high 35 points leads Chicago to 120-95 win over Milwaukee; gives him exactly 20,000 points in 620th game of his NBA career; 2nd-fastest to reach milestone after Wilt Chamberlain (499)"
96,08 January,1811,US Vice President John C. Calhoun (28) weds Floride Bonneau (19)
97,08 January,1930,Belgium Princess Marie-Jose marries Italian's crown prince Umberto
98,08 January,1951,Actor Burgess Meredith (43) weds ballerina Kaja Sundsten
99,08 January,1499,"Louis XII of France after papal divorce marries Anne, Duchess of Brittany to keep duchy for the crown"
100,08 January,1958,"Actress Jayne Mansfield and public relations manager Paul Mansfield's divorce is finalized, after 7-1/2 years of marriage"
101,08 January,1998,Roseanne Barr files for divorce from 3rd husband Ben Thomas
102,09 January,1431,"Judges' investigations for the trial of Joan of Arc begin in Rouen, France, the seat of the English occupation government"
103,09 January,1760,Afghans defeat Marathas in battle of Barari Ghat
104,09 January,1839,Daguerreotype photo process announced at French Academy of Science
105,09 January,1909,Ernest Shackleton as part of the British Nimrod Expedition reaches a record farthest South latitude (88°23' south)
106,09 January,1941,"6,000 Jews murdered in a pogrom in Bucharest, Romania"
107,09 January,2007,Apple Inc CEO Steve Jobs announces the iPhone
108,09 January,1959,"""Rawhide"" with Clint Eastwood premieres on CBS TV"
109,09 January,2002,Michael Jackson receives the Artist of the Century award at the American music awards
110,09 January,1991,Baseball officially bans Pete Rose from being elected to Hall of Fame for betting on baseball
111,09 January,1428,"Pope Martinus V declares Jacqueline, Countess of Haintaut's marriage to Humphrey Duke of Gloucester invalid"
112,09 January,1987,Sir Rudolph Bing (of NY Met Opera) marries Lady Carroll Douglass
113,09 January,1988,English earl of St Andrews marries Sylvana Tomaselli
